system:index,total_evaporation_sum
201001,-0.005021040190503402
201002,-0.013267201349470691
201003,-0.03936553600895559
201004,-0.07819653323486674
201005,-0.08414954113699914
201006,-0.11158440260117164
201007,-0.1113319897439034
201008,-0.08609821326628979
201009,-0.05786457213807549
201010,-0.03709599648538598
201011,-0.019945816038248656
201012,-0.003746393498262871
201101,-0.007786273639670155
201102,-0.013587136376206907
201103,-0.044398080048191096
201104,-0.07924837624927711
201105,-0.08730602207580068
201106,-0.09098713648694469
201107,-0.08586877883821452
201108,-0.09260385869628353
201109,-0.06310266622040889
201110,-0.03259292182227286
201111,-0.012455493709873587
201112,-0.01933860414924379
201201,-0.015370354643793934
201202,-0.0056171712874005415
201203,-0.04668036935000963
201204,-0.06830676311093957
201205,-0.10823866260462738
201206,-0.09566239454611443
201207,-0.11221918567390846
201208,-0.10828589150073514
201209,-0.060007835133802034
201210,-0.03613867278656065
201211,-0.01707965146120108
201212,-0.014452404222787317
