system:index,uncertainty
20020403_20020429,9.8037248721704
20020501_20020517,5.130100706239518
20020731_20020830,3.8809620681446537
20020831_20020929,4.9056034705106395
20020930_20021030,2.9077884938121246
20021031_20021129,2.7571745423045506
20021130_20021230,2.8980390806305336
20021231_20030130,3.5701613855850423
20030131_20030227,2.5404414082118505
20030228_20030330,2.162085760100976
20030331_20030429,2.06621582574556
20030430_20030520,2.2487959549543346
20030630_20030730,1.6381911160988287
20030731_20030830,1.665029951739691
20030831_20030929,1.6597625825556424
20030930_20031029,1.6928350124072082
20031031_20031129,1.679641138423063
20031130_20031230,1.667868421724088
20031231_20040112,2.0174680016788265
20040203_20040228,1.7149656789351135
20040229_20040330,1.5815373824408043
20040331_20040429,1.5920015862044843
20040430_20040530,1.649291075670465
20040531_20040629,1.6617237302860657
20040630_20040730,1.4994869087807097
20040731_20040830,1.6070937072521942
20040831_20040929,1.7162999185815917
20040930_20041030,1.5386297080020377
20041031_20041129,1.7731950009320099
20041130_20041230,1.9257407369284087
20041231_20050130,1.7962550278861464
20050131_20050227,1.755551472047602
20050228_20050330,1.7164944107582183
20050331_20050429,1.6827631491686659
20050430_20050530,1.7035408663059513
20050531_20050629,1.7390147760265795
20050630_20050730,1.6381592407897652
20050731_20050830,1.628986161421998
20050831_20050929,1.6287807492579283
20050930_20051030,1.6205198859340337
20051031_20051129,1.5801361948079218
20051130_20051230,2.0474835719507745
20051231_20060130,1.699680702189786
20060131_20060227,1.708737477902809
20060228_20060330,1.6558789960811582
20060331_20060429,1.6601157572101488
20060430_20060530,1.6189205252340815
20060531_20060629,1.7979888384349128
20060630_20060730,1.770731384584159
20060731_20060830,1.6285404742500649
20060831_20060929,1.7420725678075217
20060930_20061030,1.6931142097726117
20061031_20061129,1.6389301341379021
20061130_20061230,1.7072789788626608
20061231_20070130,1.7546367106226213
20070131_20070227,1.7120679748721892
20070228_20070330,1.6452585842069354
20070331_20070429,1.663174060431155
20070430_20070530,1.6354055525697468
20070531_20070629,1.6612799022428972
20070630_20070730,1.6359860026906807
20070731_20070830,1.7747893658530265
20070831_20070929,1.7506305258099528
20070930_20071030,1.8116601238733423
20071031_20071129,1.8710068717953234
20071130_20071230,1.7590851932853366
20071231_20080130,1.7420293490188297
20080131_20080228,1.891181611537394
20080229_20080330,1.7546627129400623
20080331_20080429,1.8947997132515262
20080430_20080530,1.8034107955328604
20080531_20080629,1.7077595934668885
20080630_20080730,1.7543219139331123
20080731_20080830,1.7200793268965748
20080831_20080929,1.7246708412170266
20080930_20081030,1.7072317593473192
20081031_20081129,1.8636091390102356
20081130_20081230,1.7905058870419497
20081231_20090130,1.7829198669919941
20090131_20090227,1.8534964795919404
20090228_20090330,1.8246049599909013
20090331_20090429,1.6532588409125157
20090430_20090530,1.6477280547384523
20090531_20090629,1.664426841782284
20090630_20090730,1.8264063424505088
20090731_20090830,1.7534805412404189
20090831_20090929,1.6985262155644862
20090930_20091030,1.775398810684991
20091031_20091129,1.767718003088831
20091130_20091230,1.7629421469969868
20091231_20100130,1.7570837452206534
20100131_20100227,1.750782111704955
20100228_20100330,1.885138861710481
20100331_20100429,1.7009179811943853
20100430_20100530,1.7217366833233287
20100531_20100629,2.1083297423033778
20100630_20100730,1.693059124766943
20100731_20100830,1.562879077369431
20100831_20100929,1.604364674983819
20100930_20101030,1.7111645958081307
20101031_20101129,1.7986085718090943
20101130_20101226,1.915497805834834
20110207_20110227,2.231831534228462
20110228_20110330,2.070643001062689
20110331_20110429,1.9272553228518288
20110430_20110530,1.8150428512994277
20110704_20110730,1.9563604286669194
20110731_20110830,1.7913489522391328
20110831_20110929,1.7185223019007867
20110930_20111030,1.6442151623150179
20111016_20111115,1.6895153262327134
20111216_20120114,1.6145168284028912
20111231_20120130,1.5254423262187777
20120131_20120228,1.6625261225609518
20120229_20120330,1.5278407356353993
20120319_20120418,1.8564322388056762
20120531_20120629,1.6899762491632697
20120630_20120730,1.6067324599907942
20120731_20120830,1.5616713452690212
20120831_20120923,1.787724642446312
20121105_20121129,1.814391498105844
20121130_20121230,1.6433186396064332
20121231_20130130,1.6068795487815934
20130131_20130225,1.7754519564346998
20130410_20130429,1.8569011485345845
20130430_20130530,1.6047978778628902
20130531_20130629,1.6645772407631279
20130630_20130730,1.669075906404385
20130930_20131030,1.6875938651882318
20131031_20131129,1.625317523365476
20131130_20131230,1.6354082438871815
20131231_20140116,2.03400556087116
20140228_20140330,1.4621636320797018
20140331_20140429,1.483840820164274
20140430_20140530,1.5098994576249778
20140531_20140623,1.6652817681099543
20140731_20140830,1.552179446529589
20140831_20140929,1.4977008263502725
20140930_20141030,1.4490300914777283
20141031_20141201,1.4750909224478947
20150112_20150130,1.751522224679345
20150131_20150227,3.0561248217084764
20150228_20150330,1.3040708032935753
20150331_20150429,1.394615006480554
20150411_20150510,1.4934717306265695
20150628_20150730,1.6273156472637451
20150731_20150830,1.5526804912426464
20150831_20150926,1.7385999764129187
20151211_20160102,1.7771594725701019
20160103_20160127,1.6275687989623173
20160128_20160228,1.5217481279858598
20160229_20160330,1.5798182169133244
20160507_20160530,1.7204223043969722
20160531_20160629,1.642632968234474
20160630_20160728,1.7249676671746366
20160807_20160902,2.074586981934114
20161113_20161209,3.7825910510882657
20161210_20170105,3.7890814976614564
20170106_20170202,3.8386674148193523
20170316_20170413,3.841978974416647
20170409_20170507,3.7155539778102944
20170501_20170521,3.629551176059954
20170522_20170628,3.609384117303859
